55 273
0 -0.20406491708908536
1 -0.9630228276827142
2 0.15494323024168688
3 -0.46629528910495344
4 -0.529336800143936
5 0.14281425471802867
6 0.4234212084891569
7 0.2802948680154089
8 0.2994736936415656
9 0.7038085218723011
10 -0.0914304206846146
11 0.10047480659819263
12 0.9017464163502733
13 -0.7989735832239513
14 0.47462589032566416
15 -0.9983127946935477
16 0.8384859960558217
17 0.04189272257819732
18 -0.8808557984310164
19 -0.4894547101886253
20 -0.04416859070906143
21 0.1587025610372499
22 0.21523683569536378
23 -0.44828071081816434
24 -0.1992542303710978
25 0.4616568414288067
26 -0.6382298236168189
27 -0.5489403307732164
28 -0.3638194416652325
29 0.5448273381693529
30 0.6587097646816942
31 0.6638901823565062
32 0.20342794876807013
33 0.0030756188716754007
34 0.40803763074980437
35 0.30875634820979636
36 0.46790667881708026
37 0.23455356348807577
38 0.4908891245451532
39 0.19290825889048158
40 -0.884918928875754
41 0.6130389486321963
42 0.46742943994261577
43 0.7574665726335146
44 0.5857480663089598
45 -0.8128813295509043
46 -0.1716664786395623
47 -0.3537905405848576
48 0.2567045682224094
49 -0.5666472333802612
50 -0.7011550722456972
51 0.4078802656727991
52 0.029645067033933437
53 -0.5357000571658534
54 -0.4251325087954474
0 8 -0.3479101685963788
0 12 0.06339346542118829
0 13 0.24197799626110772
0 24 0.09807104465204275
0 34 0.2541748388019971
0 36 -0.08980845853472563
0 45 0.8949554655737415
0 49 -0.5596492551255838
1 11 0.11115848936395234
1 15 0.381387677054277
1 20 0.17716189812999428
1 27 -0.7276568732543456
1 29 -0.11852584348438899
1 33 0.6839081933741169
1 42 -0.07689690724914255
1 47 -0.35954696260660435
1 48 -0.6451266327361194
1 53 -0.9150942274969387
2 9 0.995688212612831
2 12 0.3281049228365498
2 16 -0.48853945594492965
2 30 -0.3213033244694057
2 41 -0.04646661503781924
2 43 0.05683045738917247
3 4 -0.45734997172853165
3 7 -0.4142604688252727
3 8 0.07561236157142326
3 11 -0.7657333603596086
3 22 -0.6607397659091754
3 39 -0.3383754985081382
3 47 0.5429647172174419
3 49 -0.8740944098304186
4 16 -0.19881260328625938
4 31 0.7369341223716122
4 34 0.37658511340160716
4 37 -0.7960669762931216
4 42 0.005915898125186336
4 48 -0.44166944514368756
4 49 0.32324584257671374
5 12 -0.5534489417702579
5 15 -0.3172760902218612
5 20 0.5492749908064813
5 27 0.8101904243140177
5 29 -0.059287709059515636
5 30 -0.825303226009737
5 36 -0.3572623295637676
5 39 0.469085148790237
5 53 -0.2265085217434002
6 7 -0.9980069527416293
6 17 0.5527858606216915
6 19 0.022061856679795655
6 38 0.3045364043295955
6 40 0.4614170918280647
6 41 0.8800035831303437
6 45 -0.6213387201104603
6 46 0.400508710618815
6 54 -0.3762893064905797
7 18 -0.7655381941095489
7 21 0.3662266809874526
7 33 -0.5375419065303244
7 42 -0.4501496318676872
7 43 0.3736710017886371
7 47 0.37240465627988906
8 15 -0.5896640187899695
8 21 -0.26514174809657365
8 23 0.5436505289196658
8 27 -0.04636492541725623
8 36 -0.017119451462531465
8 44 -0.14105540089614155
8 49 -0.8803373406703927
9 13 0.3890951700846972
9 14 -0.5559919714168813
9 16 0.4076778805150816
9 20 0.007225046171011051
9 25 0.5124509234347925
9 30 0.5948339633916844
9 31 -0.42195192785672564
9 33 -0.9856739587150496
9 41 -0.3008301290389319
9 49 -0.20424488187654055
9 53 0.15566910819642965
10 14 -0.9071518502467921
10 16 -0.8173025652808596
10 22 0.6213291967065513
10 24 -0.13927700325588876
10 25 -0.43529723213978877
10 28 -0.4494542915996147
10 34 -0.4530085927204124
10 35 -0.4759874450880599
10 39 0.4862897092465226
10 40 -0.29819888367002934
10 51 0.6271353528452872
11 15 0.013648692444274246
11 22 -0.5939928422182525
11 26 0.9123888895801944
11 27 -0.5585950513958451
11 34 0.6850092741564628
11 38 -0.5186069721409925
11 43 0.42191485788617644
12 27 0.8852288098913126
12 28 -0.579742445717627
12 29 -0.31561208857859846
12 35 -0.8946528180975883
12 39 -0.1265399264917182
12 42 -0.021891274503353042
12 43 0.03357578092427538
12 46 -0.9903644806037109
12 52 -0.0992340884093168
13 16 -0.10295240513293491
13 25 -0.9491589460755401
13 28 -0.7090940297671553
13 39 0.10270422867590678
13 53 0.85449431614055
14 18 0.1704108751122586
14 19 0.655065091264684
14 25 0.11848761085417836
14 28 0.6830890626401429
14 38 -0.2638169309891376
14 39 -0.1545078622227063
14 42 -0.5462815301428705
14 43 0.4174252559870979
14 50 0.03431866260687322
15 16 0.32795552872295497
15 19 0.3651474208116685
15 30 -0.36970104971863704
15 32 0.21650925305433444
15 39 0.36943475966517303
15 43 0.7606011120324931
15 45 -0.2829937670684255
15 50 0.11097795869086635
15 53 -0.343674751666744
16 17 -0.2852477500510715
16 19 -0.10558582871855426
16 20 -0.19327139490707546
16 22 -0.14434521319455573
16 25 0.4531101844161376
16 27 -0.8495416963017552
16 29 0.5192819361310366
16 49 -0.12021074354422501
17 18 0.21198821812672586
17 22 0.9308015739358844
17 23 0.43964521360476727
17 30 -0.9729968435539937
17 32 0.054140009713938175
17 39 0.5159170578853884
17 42 0.3602606954898342
17 54 -0.9464990359512269
18 24 -0.8288769289551992
18 29 0.20946175973735004
18 40 0.9206374142544449
18 41 -0.2896591998995275
18 47 -0.7754947410145372
18 49 -0.4694000777832146
19 25 -0.34404357420432485
19 34 0.9857135540106621
19 40 0.5295534964819661
19 44 0.4735554937339226
19 48 0.36738895598078747
19 49 -0.15190813909160772
19 51 -0.8274293628372191
20 22 -0.6148863711262524
20 25 -0.12567482796923857
20 28 -0.1706101504148667
20 31 0.5174305631038869
20 43 -0.32726917759722496
20 45 -0.652916683511001
21 26 0.45452549213708093
21 27 0.5480150882293753
21 34 -0.8917740616050953
21 43 -0.2977339708733926
21 44 -0.1349917593860579
21 48 -0.9194817457380147
22 24 -0.1622416119641017
22 27 -0.8703124972125151
22 31 -0.2681899083084125
22 33 -0.6643601234213496
22 37 0.39040504662728304
22 43 -0.3507233263930509
22 48 0.5465450737373212
23 24 0.7559743982165523
23 26 0.3070865643732885
23 34 -0.06808611610533077
23 37 -0.3122787494845032
23 43 -0.8201033461542682
24 39 0.13932339873335198
24 43 -0.6621214618904239
24 51 -0.7591403347703134
25 37 -0.7071102562187397
25 41 -0.6022390901872949
25 46 -0.9903321553816997
25 49 -0.270550096899673
26 38 -0.7539025463019484
26 41 -0.07071742218989874
26 42 -0.4086157899250238
26 46 -0.4367483209717915
26 53 0.4493606825464702
27 34 0.6131939201317238
27 38 0.1934024779675687
27 39 -0.6494094499798864
27 41 0.2186565510618912
27 45 -0.948286433482529
28 43 0.019980120855592975
28 45 0.5241892817573033
28 48 0.258865289195807
28 49 0.4817421585473751
28 54 -0.37214641572631724
29 36 -0.4751144619123058
29 43 -0.6976584897891005
29 44 0.6126354844053294
29 48 0.1054652109064822
29 50 0.1287753863489547
30 33 0.9434204974740257
30 34 -0.2543506201750869
30 35 0.28832151280298657
30 38 -0.7547583049251989
30 42 -0.18617363559329259
30 45 -0.1420842319248179
30 47 0.7157510503602371
30 52 -0.4875600059916725
31 35 -0.16703294997771367
31 44 -0.7234193023485795
31 45 0.727440611325644
31 48 -0.5110885599749031
32 37 -0.618731513686549
32 38 0.8998991906287372
32 41 -0.47146407490176556
32 49 -0.4535005259860516
32 50 -0.45358580776692214
32 51 -0.6556626952598543
33 34 0.7018407114155063
33 38 0.9130218144617184
33 39 0.35060235304603227
33 44 0.16491958324762446
33 50 -0.42719518605050744
33 52 0.4902574316451791
34 38 0.8839177854155529
34 43 0.03985008025996617
